ImageName,Q1 Score,Q2 Score,Q3 Score,Q4 Score,Q5 Score,Q6 Score
FH-QD (58).jpg,59.724007,57,54,15.438888,36,25.891241
FH-QD (59).jpg,55.701424,50,52,24,30,22.795109
FH-QD (64).jpg,51,50,53,30,24,18.32404
FH-QD (66).jpg,63.244286,60,63,30,34.55848,28.711662
FH-QD (7).jpg,60,64,63,18,30,26.546665
FH-QD (703).jpg,54,59,58,15,17,22.399845
FH-QD (704).jpg,52.40899,51,56,16,19,17
FH-QD (705).jpg,62.44879,60,55,25,27,20
FH-QD (707).jpg,80,71.04573,85,19,17,16
FH-QD (73).jpg,74.28571,50.195164,51,31.264072,21,35.42364
FH-QD (74).jpg,57.950535,50,51,30.960045,30.917858,16.750109
FH-QD (75).jpg,59,51,51.18082,17,32.697285,23.035847
FH-QD (8).jpg,66.70216,66.555405,53,17.50553,15,15.626459
FH-QD (821).jpg,53.79444,50,53,33.82003,17,18
FH-QD (83).jpg,50.51928,52,58,15,30,20
FH-QD (834).jpg,67.994156,52,63,34.22936,33.201904,21
FH-QD (84).jpg,65,59.98379,63.78546,15.309273,28.070341,18.029337
FH-QD (85).jpg,72.75029,63,54,15,18,21
FH-QD (86).jpg,63.59198,57,52,18,22.600271,12.853351
FH-QD (87).jpg,60,55,51,19,26.15973,31.858608
FH-QD (9).jpg,69.53383,66.87092,62,30,21,19.738853
FH-QD (91).jpg,53.163803,51,52,25,18,17
FH-QD (92).jpg,60.45337,53,52,25,38.872234,19
FH-QD (93).jpg,51.302887,56.934536,52,21,23,21
FH-QHD (1).jpg,62,64,61.180862,15,16.883554,18.010834
FH-QHD (10).jpg,71.32564,79.73396,70,39,34.04733,32
FH-QHD (11).jpg,64.86236,60,68,36.810223,35,34.437283
FH-QHD (12).jpg,65.14273,50,59,39,36,35
FH-QHD (143).jpg,73,69.02628,63,24.478994,35,22.419415
FH-QHD (144).jpg,71,63,62,19.154898,30,18.693562
FH-QHD (17).jpg,51.987514,57.116703,54,29,16.726124,24
FH-QHD (21).jpg,60,50,52,46,37,36.790257
FH-QHD (27).jpg,60.103462,58,57,27.504747,39,44.202385
FH-QHD (416).jpg,70,60,67.69045,37,38,30.059746
FH-QHD (417).jpg,70,63,70,37,35,36
FH-QHD (425).jpg,49.28499,46.823597,42,44.929207,46,31
FH-QHD (426).jpg,50.571377,50,52,45.61476,40,29
FH-QHD (427).jpg,76,70,75.48624,35,27.877361,27
FH-QHD (428).jpg,58.444016,53,51,30,36.377842,37
FH-QHD (429).jpg,57,53,50,38,30.904081,37
FH-QHD (528).jpg,49.90061,50,52,38,28.395512,22.485632
FH-QHD (529).jpg,48,40,49,30,30,25
FH-QHD (530).jpg,42,40,41,50,48,42
FH-QHD (531).jpg,45,40,42,50,52,49
FH-QHD (532).jpg,48,40,46,51,49,40
FH-QHD (533).jpg,53,59,60,36,46.305183,28.39254
FH-SH (1).jpg,57,51,51,41,49,40
FH-SH (102).jpg,53,50,52,40,40,41
FH-SH (103).jpg,51,47,53,40,39,37
FH-SH (104).jpg,56.440044,52,53,29.32016,15.756609,17
FH-SH (105).jpg,56,51,52,40,40,35
FH-SH (106).jpg,49.51168,45,48,38,26,20
FH-SH (115).jpg,51,43,48,30.657091,39.9288,21
FH-SH (120).jpg,76,70,71,25,21,28
FH-SH (121).jpg,59,50,51.34888,41,37,8.556424
FH-SH (129).jpg,52.268475,48.544876,52,27,27,38
FH-SH (131).jpg,73,62,65,46.700027,30,24.837729
FH-SH (132).jpg,69,63,69.15366,28,26,24
FH-SH (133).jpg,54.66416,41.804943,26.242558,36,42,31
FH-SH (14).jpg,59.74771,40.164295,43.308456,25,36,27.790073
FH-SH (15).jpg,47.561172,33.461887,25.598644,46,40,27.135254
FH-SH (2).jpg,51,49,42.19881,25,28,36
FH-SH (20).jpg,53,48,50,31,25.58618,31
FH-SH (21).jpg,50.40416,47,43,30,32,36
FH-SH (24).jpg,50,48,53,30,48,32
FH-SH (3).jpg,56,51,49,30,40,41
FH-SH (30).jpg,65,60,62,22.515505,34.72489,16
FH-SH (31).jpg,67,64,61,20,28.552324,17
FH-SH (32).jpg,69,64,65,46,48.337955,40
FH-SH (4).jpg,54.528667,40.97603,42,36,25.23214,32
FH-SH (42).jpg,57,52,56,40,37,37
FH-SH (47).jpg,54,51,53,42,41,36
FH-SH (48).jpg,52,50,45.42271,35,29,38
FH-SH (5).jpg,69,63,68.32433,28,25,26
FH-SH (50).jpg,48.05125,48.576126,42,42,47.280426,31
FH-SH (52).jpg,50,50,39.138397,30,39,22.842201
FH-SH (59).jpg,51,43.33601,48,38,40,37
FH-SH (6).jpg,73,73,71,34,20,24.690475
FH-SH (60).jpg,57,56,62,29,31.26566,45
FH-SH (61).jpg,58,50,53,39,35,25
FH-SH (62).jpg,60,50,57,39.942993,21.701092,31
FH-SH (63).jpg,59.604477,50,52,29.472927,13.335136,7.724986
FH-SH (64).jpg,64.44517,60,52,50,48,48
FH-SH (65).jpg,60,50,51,40,45,39.09828
FH-SH (66).jpg,56,46.936043,47,41.46899,22.366112,27
FH-SH (67).jpg,56,54,50,45,43,49
FH-SH (68).jpg,66,57,59,14.849373,25,18
FH-SH (69).jpg,68,59,59,17.779646,26,20
FH-SH (70).jpg,63.1046,59.06879,58,31,37,32
FH-SH (71).jpg,59.618042,54,51,45,48,42
FH-SH (72).jpg,56.473377,50,52,28.232265,15.8120775,24
FH-SH (73).jpg,56,50,57,40,46,45
FH-SH (74).jpg,50.005665,50,48,40,46,45
FH-SH (75).jpg,52,50,52,40,34,37
FH-SH (76).jpg,55.37675,50,51,41,45,48
FH-SH (77).jpg,54,50,52,40,31,31
FH-SH (78).jpg,57.529617,50,55,26,40,30
FH-SH (79).jpg,47.70087,45,43,24,35,28
FH-SH (80).jpg,48.607758,41,49,17,28.533245,18
FH-SH (81).jpg,57,54.518913,53,27.788147,22.862192,27
FH-SH (82).jpg,55.538433,50.16609,52,42,33.70836,39
FH-SH (83).jpg,56.55494,45,51,35,36,37
FH-SH (84).jpg,56.27902,51.16592,57,51.849236,59.409134,51
FH-SH (85).jpg,56.58695,50,52,32.044262,30,23.33058
FH-SH (86).jpg,68,61,63,23,36.032722,29.387169
FH-SH (87).jpg,70.32886,64,62,30,21,29.896133
FH-SH (88).jpg,60.95482,66.48875,62,48,41,41
FH-SH (89).jpg,51.550446,48,51,22.526798,30,33.745792
FH-SH (90).jpg,65.098236,60,75.345825,18,25,21.225634
FH-SH (91).jpg,69,60,63,34,31,37
FH-SH (92).jpg,58,50,49,38,29,37
FH-SH (93).jpg,54,50,53,36.580486,34,35
FH-SH (94).jpg,56.689083,57,56,40,41,34
FH-SH (95).jpg,65,67.43145,63,5.541025,43.832863,23.171333
FH-SH (96).jpg,70,60,63,40,36,35
FH-SY (11).jpg,61.55356,60,61,24,25,18.824196
FH-SY (12).jpg,69,65,65,19,27,20.044987
FH-SY (13).jpg,67,65,67,18,27,21.022734
FH-SY (199).jpg,80,63,72,15,18,16.008112
FH-SY (2).jpg,65,60,70,18,19.460533,18.713823
FH-TJ (10).jpg,59,56,60,18,18,21
FH-TJ (100).jpg,58,53,61,30,26,19
FH-TJ (101).jpg,58.56958,54,59,32.222034,26,29.64943
FH-TJ (108).jpg,61.746155,54,58,17,28,21
FH-TJ (11).jpg,57,51,52,24,16,20.283062
FH-TJ (110).jpg,54,53,53,17,15,20
FH-TJ (115).jpg,64.278404,58,58,27,27,23
FH-TJ (116).jpg,67,62,56,23,28.4963,24
FH-TJ (126).jpg,54,51,59,19,22.491817,16
FH-TJ (127).jpg,60.730843,53,60,17,37,26
FH-TJ (128).jpg,65,61,61,34,28,18
FH-TJ (133).jpg,55,50,54,26,24,21
FH-TJ (135).jpg,68.573715,67.80746,70.05225,28,33,23.026161
FH-TJ (142).jpg,62,60,58.519066,30,32,29.323826
FH-TJ (143).jpg,54,46,49,31,22.494017,16
FH-TJ (144).jpg,57.636543,52,47.051197,19,20,20.634472
FH-TJ (15).jpg,54,52,52,38.463543,30,18
FH-TJ (155).jpg,59,48,50,16,49.322296,17.247498
FH-TJ (156).jpg,58.70917,53.28079,54,41.080296,23.488415,31.56802
FH-TJ (16).jpg,51,51.20217,27,29.035955,27,22.4515
FH-TJ (161).jpg,58,53,61,30,26,19
FH-TJ (162).jpg,58.56958,54,59,32.222034,26,29.64943
FH-TJ (163).jpg,61.746155,54,58,17,28,21
FH-TJ (17).jpg,57,51,52,24,16,20.283062
FH-TJ (171).jpg,54,53,53,17,15,20
FH-TJ (172).jpg,64.278404,58,58,27,27,23
FH-TJ (173).jpg,67,62,56,23,28.4963,24
FH-TJ (18).jpg,54,51,59,19,22.491817,16
FH-TJ (182).jpg,60.730843,53,60,17,37,26
FH-TJ (183).jpg,65,61,61,34,28,18
FH-TJ (188).jpg,55,50,54,26,24,21
FH-TJ (189).jpg,43.284653,57,50,29.415058,13.0054455,12.866461
FH-TJ (19).jpg,59.250755,50,52,20,31,24
FH-TJ (190).jpg,68.70785,62,58,38,15,16.332363
FH-TJ (199).jpg,50.05331,54,58,39.32332,15.465954,19
FH-TJ (20).jpg,43.609856,42,59,28.314646,17,19
FH-TJ (200).jpg,49.909756,42,59,21,20.96694,18
FH-TJ (201).jpg,51.35832,53,54,16,39,17
FH-TJ (21).jpg,41.79071,43.247417,53.261986,18,38,18
FH-TJ (22).jpg,48.969498,43,58.152706,24,19,27
FH-TJ (23).jpg,54.370865,53,58,25,37,21
FH-TJ (24).jpg,58.16895,56,59,24.69068,21.455002,24.314669
FH-TJ (25).jpg,51.303062,54,58,21,29,27
FH-TJ (26).jpg,67,56.11545,51,30,16,23.428707
FH-TJ (27).jpg,53.927666,52,58,29,30,16
FH-TJ (28).jpg,60.735733,58,52,21.757265,24.992558,21
FH-TJ (29).jpg,58.764095,54,50,28,21,25
FH-TJ (30).jpg,54.685425,50,51,25,31,23
FH-TJ (31).jpg,58.460243,57,50,26,16,24
FH-TJ (32).jpg,58,53,61,30,26,19
FH-TJ (33).jpg,58.56958,54,59,32.222034,26,29.64943
FH-TJ (34).jpg,61.746155,54,58,17,28,21
FH-TJ (35).jpg,57,51,52,24,16,20.283062
FH-TJ (36).jpg,54,53,53,17,15,20
FH-TJ (37).jpg,64.278404,58,58,27,27,23
FH-TJ (38).jpg,67,62,56,23,28.4963,24
FH-TJ (39).jpg,54,51,59,19,22.491817,16
FH-TJ (40).jpg,60.730843,53,60,17,37,26
FH-TJ (41).jpg,65,61,61,34,28,18
FH-TJ (42).jpg,55,50,54,26,24,21
FH-TJ (43).jpg,43.284653,57,50,29.415058,13.0054455,12.866461
FH-TJ (44).jpg,59.250755,50,52,20,31,24
FH-TJ (45).jpg,68.70785,62,58,38,15,16.332363
FH-TJ (54).jpg,50.05331,54,58,39.32332,15.465954,19
FH-TJ (55).jpg,43.609856,42,59,28.314646,17,19
FH-TJ (56).jpg,49.909756,42,59,21,20.96694,18
FH-TJ (61).jpg,51.35832,53,54,16,39,17
FH-TJ (67).jpg,41.79071,43.247417,53.261986,18,38,18
FH-TJ (68).jpg,48.969498,43,58.152706,24,19,27
FH-TJ (7).jpg,54.370865,53,58,25,37,21
FH-TJ (70).jpg,58.16895,56,59,24.69068,21.455002,24.314669
FH-TJ (71).jpg,51.303062,54,58,21,29,27
FH-TJ (72).jpg,67,56.11545,51,30,16,23.428707
FH-TJ (73).jpg,58,53,61,30,26,19
FH-TJ (74).jpg,58.56958,54,59,32.222034,26,29.64943
FH-TJ (75).jpg,61.746155,54,58,17,28,21
FH-TJ (81).jpg,57,51,52,24,16,20.283062
FH-TJ (82).jpg,54,53,53,17,15,20
FH-TJ (83).jpg,64.278404,58,58,27,27,23
FH-TJ (84).jpg,67,62,56,23,28.4963,24
FH-TJ (85).jpg,54,51,59,19,22.491817,16
FH-TJ (86).jpg,60.730843,53,60,17,37,26
FH-TJ (88).jpg,65,61,61,34,28,18
FH-TJ (91).jpg,55,50,54,26,24,21
FH-TJ (92).jpg,51.02368,52,53,22.423223,20,17.08525
FH-TJ (93).jpg,60.295006,45.458088,40,24.91458,22.790667,26.191467
FH-TJ (98).jpg,69.44302,59.500042,50,38,28,29.055084
FH-TJ (99).jpg,54,50,53,16,29.225233,15
FH-WH (118).jpg,57,53,56,27,22.326809,21
FH-WH (120).jpg,54,58,38.196384,37,24.791473,25
FH-WH (121).jpg,62.478798,65,58,32.353767,22,27
FH-WH (122).jpg,65,63,50,30,17,23.94522
FH-WH (123).jpg,74.23505,64,58,30,17,34
FH-WH (14).jpg,69,61,53,32,21,31
FH-WH (15).jpg,71,64,53,21,21,30
FH-WH (16).jpg,71.91509,69,51,38,28,17
FH-WH (17).jpg,59,52,54,25,30,31
FH-WH (18).jpg,73,65,57.393482,27,21,20
FH-WH (26).jpg,72,60,51,31,34,27
FH-WH (27).jpg,57.694805,49.764885,50,30.334318,30.679283,28
FH-WH (32).jpg,57,52,56,30,32,31
FH-WH (35).jpg,70,65,52,25,23.399231,21
FH-WH (42).jpg,65.50123,56,59,28,39.412704,37
FH-WH (43).jpg,61,55,58,28,40,27
FH-WH (7).jpg,63,58,52.00437,29,18,28.970695
FH-WH (8).jpg,76.80344,70,59,35,17,26.226387
FH-XM (1).jpg,62.478798,65,58,32.353767,22,27
FH-XM (11).jpg,65,63,50,30,17,23.94522
FH-XM (16).jpg,74.23505,64,58,30,17,34
FH-XM (17).jpg,69,61,53,32,21,31
FH-XM (19).jpg,71,64,53,21,21,30
FH-XM (2).jpg,71.91509,69,51,38,28,17
FH-XM (27).jpg,69,52,54,25,30,31
FH-XM (28).jpg,73,65,57.393482,27,21,20
FH-XM (29).jpg,72,60,63,31,34,27
FH-XM (34).jpg,75,79,63,30.334318,30.679283,28
FH-XM (43).jpg,77,72,65,30,32,31
FH-XM (44).jpg,70,65,62,25,23.399231,21
FH-XM (45).jpg,65.50123,56,59,28,39.412704,37
FH-XM (46).jpg,71,65,58,28,40,27
FH-XM (52).jpg,73,68,52.00437,29,18,28.970695
FH-XM (53).jpg,76.80344,70,69,35,17,26.226387
FH-XM (55).jpg,69,65,73,35,26,19
FH-XM (56).jpg,69,65,69,20,15.042688,23.812687
FH-XM (61).jpg,69,65,75,29,28,22.580711
FH-XM (62).jpg,78,69,72,27,32.74081,30.428627
FH-XM (70).jpg,83.09247,64,71,28.919304,30.448612,23.437496
FH-XM (71).jpg,69,62,62,28,32.666416,21.412886
FH-XM (81).jpg,65,62,63,15.550976,23,28
FH-XM (82).jpg,69,60,63,24,21,19.219368
GG-BH (1).jpg,90.01651,87,91,30,34.2138,21
GG-BH (110).jpg,72.843506,70,81.62626,24.562746,15,33.95295
GG-BH (111).jpg,77.17354,70,63,20,27.165052,30.523262
GG-BH (112).jpg,75.34249,70.36061,62,30,25.372402,19
GG-BH (117).jpg,54,51.780617,53.115116,22.673473,20,16.576157
GG-BH (122).jpg,52.047222,55.173363,54,17,19,20
GG-BH (130).jpg,54.35102,52,59.068825,29.142153,20.864468,26.731754
GG-BH (135).jpg,69.29094,63,59,47.16622,30,33.530468
GG-BH (136).jpg,77.7252,70,64,30,17,24.063335
GG-BH (1417).jpg,75,70,63,31,21,32.97338
GG-BH (1418).jpg,75,70,65,20,17.067753,24
GG-BH (1419).jpg,61,60,62,15,17,17
GG-BH (1420).jpg,64,60,62,25.981863,18,17.940863
GG-BH (1425).jpg,71.528336,73,61,26,15,16.025406
GG-BH (1426).jpg,52.81449,51,62,27,25,21
GG-BH (1427).jpg,77.539276,72,61,38,25,16.945787
GG-BH (1428).jpg,73.37787,71,43,31,24,27.314293
GG-BH (153).jpg,85,81,79,23,22.24939,21
GG-BH (154).jpg,89.51698,83,83,21,29,30
GG-BH (155).jpg,61.76847,60,63,25,28,27
GG-BH (156).jpg,78,60,67.31849,21,28,16.002459
GG-BH (159).jpg,84.785645,80.53003,71,25,26,21.991287
GG-BH (16).jpg,55.341778,54,59,31,19.360645,24
GG-BH (160).jpg,68.79395,72.187195,68,27,26.885101,30.859241
GG-BH (161).jpg,80.37972,78,82,28,29,31.790916
GG-BH (162).jpg,59,53,63.334484,24,16.685272,33.17857
GG-BH (165).jpg,62.713318,51,64,31,21,19.84755
GG-BH (166).jpg,84,78,82,30,34,18
GG-BH (167).jpg,90.01651,87,91,30,34.2138,21
GG-BH (169).jpg,72.843506,70,81.62626,24.562746,15,33.95295
GG-BH (170).jpg,77.17354,70,63,20,27.165052,30.523262
GG-BH (171).jpg,75.34249,70.36061,62,30,25.372402,19
GG-BH (172).jpg,54,51.780617,53.115116,22.673473,20,16.576157
GG-BH (173).jpg,52.047222,55.173363,54,17,19,20
GG-BH (177).jpg,54.35102,52,59.068825,29.142153,20.864468,26.731754
GG-BH (178).jpg,69.29094,63,59,47.16622,30,33.530468
GG-BH (179).jpg,77.7252,70,64,30,17,24.063335
GG-BH (180).jpg,75,70,63,31,21,32.97338
GG-BH (181).jpg,65,65,53,40,41,30
GG-BH (182).jpg,58.285896,56,56,31,40,32
GG-BH (183).jpg,53.38611,50,63,48.79253,17.700901,31
GG-BH (184).jpg,54.266666,57,50,21.450413,42,11.847109
GG-BH (185).jpg,49.467575,47,43,20,25.237432,26.318314
GG-BH (186).jpg,66.52203,50,52,40,40,16.559399
GG-BH (187).jpg,59.7593,50,58,15.754137,40,38.07651
GG-BH (188).jpg,52.42008,70,51,40.52125,22.836946,20
GG-BH (189).jpg,66.61165,53,54,14.562395,19,16
GG-BH (190).jpg,61.38568,50,53,15,40,24.132484
GG-BH (1903).jpg,56.52471,53,56,15.851591,30.861809,30.684525
GG-BH (1904).jpg,49.810673,42.2346,49,16,37,19.540209
GG-BH (1905).jpg,53.52915,50,52,40,20.271576,31
GG-BH (1906).jpg,57.183617,47,47,59,31,36
GG-BH (1907).jpg,54.809532,43,41,38.254745,16,19
GG-BH (1908).jpg,65.366196,50,55,35.558544,38.49607,16.468311
GG-BH (191).jpg,68.38282,50,52,39,21.878548,21
GG-BH (1911).jpg,54.545193,53,50,52,31.52511,19.735973
GG-BH (1912).jpg,72.78984,80,70.44145,18,19.423304,19
GG-BH (1913).jpg,70.95503,80,85,17,21.011858,20
